word,lists,seen_tokens,seen_articles,last_seen
a,NGSL;Spoken,0,0,
abandon,NGSL,0,0,
abdominal,NAWL,0,0,
ability,NGSL,0,0,
able,NGSL;Spoken,0,0,
abortion,NGSL,0,0,
about,NGSL;Spoken,2,1,2025-11-09T08:55:46+00:00
above,NGSL,0,0,
abroad,NGSL,0,0,
absence,NGSL,0,0,
absolute,NGSL,0,0,
absolutely,NGSL;Spoken,0,0,
absorb,NAWL,0,0,
absorption,NAWL,0,0,
abstract,NGSL,0,0,
abuse,NGSL,0,0,
academic,NGSL,0,0,
accelerate,NAWL,0,0,
acceleration,NAWL,0,0,
accent,NAWL,0,0,
accept,NGSL;Spoken,0,0,
acceptable,NGSL,0,0,
access,NGSL,0,0,
accident,NGSL,0,0,
accommodation,NGSL,0,0,
accompany,NGSL,0,0,
accomplish,NGSL,0,0,
accord,NGSL,0,0,
account,NGSL;Spoken,0,0,
accumulate,NAWL,0,0,
accumulation,NAWL,0,0,
accuracy,NAWL,0,0,
accurate,NGSL,0,0,
accurately,NAWL,0,0,
accuse,NGSL,0,0,
achieve,NGSL,0,0,
achievement,NGSL,0,0,
acid,NAWL,0,0,
acidic,NAWL,0,0,
acknowledge,NGSL,0,0,
acquire,NGSL,0,0,
acquisition,NGSL,0,0,
across,NGSL;Spoken,0,0,
act,NGSL,0,0,
action,NGSL;Spoken,0,0,
activate,NAWL,0,0,
active,NGSL,0,0,
actively,NAWL,0,0,
activity,NGSL,0,0,
actor,NGSL,0,0,
actual,NGSL,0,0,
actually,NGSL;Spoken,0,0,
acute,NAWL,0,0,
ad,NGSL,0,0,
adapt,NGSL,0,0,
adaptation,NAWL,0,0,
adaptive,NAWL,0,0,
add,NGSL;Spoken,0,0,
addition,NGSL,0,0,
additional,NGSL,0,0,
address,NGSL;Spoken,0,0,
adequate,NGSL,0,0,
adjacent,NAWL,0,0,
adjust,NGSL,0,0,
adjustment,NGSL,0,0,
administration,NGSL,0,0,
admire,NGSL,0,0,
admission,NAWL,0,0,
admit,NGSL,0,0,
adolescent,NAWL,0,0,
adopt,NGSL,0,0,
adult,NGSL,0,0,
advance,NGSL,0,0,
advantage,NGSL,0,0,
adventure,NGSL,0,0,
adverse,NAWL,0,0,
advertise,NGSL,0,0,
advertisement,NGSL,0,0,
advice,NGSL,0,0,
advise,NGSL,0,0,
adviser,NGSL,0,0,
advocate,NGSL,0,0,
aerosol,NAWL,0,0,
aesthetic,NAWL,0,0,
affair,NGSL,0,0,
affect,NGSL;Spoken,0,0,
affirm,NAWL,0,0,
afford,NGSL,0,0,
afraid,NGSL,0,0,
after,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
afternoon,NGSL;Spoken,0,0,
afterward,NAWL,0,0,
again,NGSL;Spoken,0,0,
against,NGSL;Spoken,0,0,
age,NGSL;Spoken,0,0,
agency,NGSL,0,0,
agenda,NGSL,0,0,
agent,NGSL,0,0,
aggregate,NAWL,0,0,
aggressive,NGSL,0,0,
ago,NGSL;Spoken,0,0,
agree,NGSL;Spoken,0,0,
agreement,NGSL,0,0,
agricultural,NGSL,0,0,
agriculture,NAWL,0,0,
ahead,NGSL;Spoken,0,0,
aid,NGSL,0,0,
aim,NGSL,0,0,
air,NGSL;Spoken,0,0,
aircraft,NGSL,0,0,
airline,NGSL,0,0,
airplane,NAWL,0,0,
alarm,NGSL,0,0,
album,NGSL,0,0,
